id,url,name,age,role,compensation,source_excerpt,created_at,gender
18,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Colleen M. Healy,53,Independent Director,238734,"Colleen M. Healy
Former Chief Financial Officer and Principal Accounting Officer of SailPoint Technologies Holdings, Inc.
INDEPENDENT DIRECTOR
Age: 53
Director since: 2023
Enerpac Board Committees:
• Audit
• Governance and Sustainability
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Colleen M. Healy  Annual Retainer $87,500  Committee Fees $31,250  Chair Fee —  Stock Awards $119,984  Total $238,734  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
19,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Richard D. Holder,61,Independent Director,253734,"Richard D. Holder
Chief Executive Officer of Loparex LLC
INDEPENDENT DIRECTOR
Age: 61
Director since: 2017
Enerpac Board Committees:
• Audit
• Compensation, Chair
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Richard D. Holder  Annual Retainer $87,500  Committee Fees $31,250  Chair Fee $15,000  Stock Awards $119,984  Total $253,734  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
20,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Lynn C. Minella,66,Independent Director,232484,"Lynn C. Minella
Former Executive Vice President & Chief Human Resources Officer of Johnson Controls International plc
INDEPENDENT DIRECTOR
Age: 66
Director since: 2022
Enerpac Board Committees:
• Compensation
• Governance and Sustainability
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Lynn C. Minella  Annual Retainer $87,500  Committee Fees $25,000  Chair Fee —  Stock Awards $119,984  Total $232,484  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
21,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Sidney S. Simmons,66,Independent Director,238734,"Sidney S. Simmons
Corporate Attorney
INDEPENDENT DIRECTOR
Age: 66
Director since: 2018
Enerpac Board Committees:
• Audit
• Governance and Sustainability
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Sidney S. Simmons  Annual Retainer $87,500  Committee Fees $31,250  Chair Fee —  Stock Awards $119,984  Total $238,734  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
22,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Paul E. Sternlieb,52,"President and Chief Executive Officer, Management",6043435,"Paul E. Sternlieb
President and Chief Executive Officer, Enerpac Tool Group Corp.
MANAGEMENT
Age: 52
Director since: 2021
Enerpac Board Committees:
• None
...The following table sets forth the total compensation applicable to the fiscal years ended August 31, 2024, 2023 and 2022 by the NEOs:
Paul E. Sternlieb 2024 Salary $891,346 Bonus — Stock Awards 4,098,164 Non-Equity Incentive Plan Compensation 877,500 All Other Compensation 176,425 Total 6,043,435",2025-05-16 14:46:59.593448,
23,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Michael R. Boyce,76,Independent Director,227513,"Michael R. Boyce Independent Director Since 2018, Chairman, Chief Executive Officer and Managing Director of Peak Investments, LLC, an operating and acquisition company. Retired Chairman of the Board of PQ Corporation, a specialty chemicals and catalyst company, where he served from 2017 to 2019. From 2005 to 2017, Chairman and Chief Executive Officer of PQ Corporation. Age: 76 Director since: 2005 Other public company directorships: None Committees: Nominating and Governance Committee, Audit Committee Fiscal 2024 director compensation: $227,513",2025-05-16 15:26:16.538551,male
24,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Billy J. Nolen,66,Independent Director,157159,"Billy J. Nolen Independent Director Billy Nolen has served as Chief Regulatory Affairs Officer of Archer Aviation Inc., an aerospace company, since June 2023. Prior to this position, Mr. Nolen served as the acting administrator at the Federal Aviation Administration (""FAA""), the government agency that regulates civil aviation activities in the U.S., from April 2022 to June 2023, where he led certification reform and new safety management systems for airports. Age: 66 Director since: 2023 Other public company directorships: None Committees: Aviation Safety and Training Committee Fiscal 2024 director compensation: $157,159",2025-05-16 15:26:16.538551,male
25,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Jennifer L. Vogel,62,Independent Director,243949,"Jennifer L. Vogel Independent Director From 2012 to 2020, co-founder and owner of InVista Advisors, an advisory firm focused on legal department effectiveness, leadership, compliance, crisis readiness and risk management. From 2003 to 2010, Senior Vice President, General Counsel, Secretary and Chief Compliance Officer of Continental Airlines, Inc. Age: 62 Director since: 2016 Other public company directorships: Sun Country Airlines Holdings, Inc. Committees: Human Capital and Compensation Committee Fiscal 2024 director compensation: $243,949",2025-05-16 15:26:16.538551,female
26,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Jeffrey N. Edwards,63,Independent Director,49632,"Jeffrey N. Edwards Partner and Vice Chairman, New Vernon Capital Partner and Vice Chairman of New Vernon Capital, an investment advisory firm, having served in that capacity since 2024. Mr. Edwards previously served as Chief Operating Officer of New Vernon Capital from 2009 to 2024. Age: 63 Director since: 2024 Other public company directorships: American Water Works Company, Inc., Raymond James Financial, Inc. Fiscal 2024 director compensation: $49,632",2025-05-16 15:26:16.538551,male
27,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,John M. Holmes,47,"Chairman, President and Chief Executive Officer",0,"John M. Holmes Chairman, President and Chief Executive Officer Chairman of the Board since January 2023. President and Chief Executive Officer of AAR CORP. since June 1, 2018. Age: 47 Director since: 2017 Other public company directorships: GATX Corporation Fiscal 2024 director compensation: Mr. Holmes is not included in this table because, as an employee director of the Company, he received no additional compensation for his service as a director in Fiscal 2024.",2025-05-16 15:26:16.538551,male
28,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Ellen M. Lord,64,Independent Director,235406,"Ellen M. Lord Independent Director Served as the Under Secretary of Defense for Acquisition and Sustainment for the United States Department of Defense from August 2017 until January 2021. President and Chief Executive Officer of Textron Systems from October 2012 to August 2017. Age: 64 Director since: 2021 Other public company directorships: Parsons Corporation Committees: Nominating and Governance Committee, Human Capital and Compensation Committee, Aviation Safety and Training Committee Fiscal 2024 director compensation: $235,406",2025-05-16 15:26:16.538551,female
29,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Marc J. Walfish,72,Lead Independent Director,286865,"Marc J. Walfish Lead Independent Director Founding Partner, Merit Capital Partners since 1991. Age: 72 Director since: 2003 Other public company directorships: None Committees: Nominating and Governance Committee, Human Capital and Compensation Committee, Audit Committee, Executive Committee Fiscal 2024 director compensation: $286,865",2025-05-16 15:26:16.538551,male
30,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,John W. Dietrich,59,Independent Director,221865,"John W. Dietrich Independent Director Executive Vice President and Chief Financial Officer, FedEx Corporation since August 2023. Age: 59 Director since: 2023 Other public company directorships: First Horizon Corp. Committees: Human Capital and Compensation Committee, Audit Committee Fiscal 2024 director compensation: $221,865",2025-05-16 15:26:16.538551,male
31,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Robert F. Leduc,68,Independent Director,223842,"Robert F. Leduc Independent Director Former President, Pratt & Whitney from 2016 until retirement early 2020. Age: 68 Director since: 2020 Other public company directorships: JetBlue Airways Corporation, Howmet Aerospace, Inc. Committees: Human Capital and Compensation Committee, Audit Committee, Aviation Safety and Training Committee Fiscal 2024 director compensation: $223,842",2025-05-16 15:26:16.538551,male
32,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Duncan J. McNabb,72,Independent Director,252950,"Duncan J. McNabb Independent Director Co-Founder and Managing Partner, Ares Mobility Solutions, Inc. since 2011. Age: 72 Director since: 2017 Other public company directorships: None Committees: Nominating and Governance Committee, Audit Committee, Aviation Safety and Training Committee Fiscal 2024 director compensation: $252,950",2025-05-16 15:26:16.538551,male
33,https://www.sec.gov/Archives/edgar/data/1750/000130817924000672/air4338901-def14a.htm,Peter Pace,78,Independent Director,221865,"Peter Pace Independent Director General, U.S. Marine Corps (Retired). From 2005 to 2007, Chairman of the Joint Chiefs of Staff. Age: 78 Director since: 2011 Other public company directorships: None Committees: Human Capital and Compensation Committee, Audit Committee, Aviation Safety and Training Committee Fiscal 2024 director compensation: $221,865",2025-05-16 15:26:16.538551,male
34,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Christine King,75,Chairman of the Board,397542,"Ms. King has been Chairman of the Board since February 2025. She first joined the Board in 2014 and served as Lead Independent Director from 2019 to February 2025. She served as Executive Chairman of QLogic Corporation (a publicly traded developer of high-performance server and storage networking connectivity products) from August 2015 until August 2016, when it was acquired by Cavium, Inc. Previously, she served as Chief Executive Officer of Standard Microsystems Corporation (a publicly traded developer of silicon-based integrated circuits utilizing analog and mixed-signal technologies) from 2008 until the company’s acquisition in 2012 by Microchip Technology, Inc. Prior to Standard Microsystems, Ms. King was Chief Executive Officer of AMI Semiconductor, Inc., a publicly traded company, from 2001 until it was acquired by ON Semiconductor Corp. in 2008.",2025-05-16 16:29:12.236921,female
35,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Philip G. Brace,54,"CEO and President, Skyworks Solutions",0,"Prior to his appointment as Chief Executive Officer and President and a director in February 2025, Mr. Brace served as interim Executive Chairman of Inseego Corp. (a publicly traded designer and developer of wireless broadband and IoT solutions) from February 2024 to February 2025 and served on the board of directors of Inseego from September 2023 to February 2025. Before that, Mr. Brace was President and Chief Executive Officer of Sierra Wireless Inc. (a formerly publicly traded provider of IoT solutions) from July 2021 to January 2023 where he led the company through significant improvements. Mr. Brace also held previous roles as Executive Vice President of Veritas Software Technology Corp (a formerly publicly traded provider of data management and protection solutions for businesses) from 2019 to 2021, and President of Cloud Systems and Silicon Group at Seagate Technology Holdings PLC (a publicly traded manufacturer of data storage products) from 2015 to 2017. Previously, Mr. Brace served in engineering and management roles at Intel Corporation (a publicly traded developer of computer components) and LSI Corporation (a formerly publicly traded semiconductor designer acquired by Avago Technologies Limited).",2025-05-16 16:29:12.236921,male
36,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Alan S. Batey,62,Independent Director,322542,"Mr. Batey served as Executive Vice President and President of North America for General Motors Company (a publicly traded automotive manufacturer), as well as the Global Brand Chief for Chevrolet, a division of General Motors Company, from 2014 until 2019. His career spans more than 39 years with General Motors where he held various senior management positions in operations, marketing, and sales around the world.",2025-05-16 16:29:12.236921,male
37,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Kevin L. Beebe,66,Independent Director,327542,"Mr. Beebe has been President and Chief Executive Officer of 2BPartners, LLC (a partnership that provides strategic, financial, and operational advice to private equity investors and management) since 2007. In 2014, Mr. Beebe became a founding partner of Astra Capital Management (a private equity firm based in Washington, D.C.). Previously, beginning in 1998, he was Group President of Operations at ALLTEL Corporation (a telecommunications services company).",2025-05-16 16:29:12.236921,male
381,https://www.sec.gov/Archives/edgar/data/5272/000000527225000025/aig-20250401.htm,John G. Rice,68,Lead Independent Director,569942,"John G. Rice, Age: 68, Director since: 2022, Committees: Nominating and Corporate Governance, Total Compensation: $569,942",2025-05-16 16:29:29.32393,male
38,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Eric J. Guerin,53,Independent Director,327542,"Mr. Guerin serves as Chief Financial Officer of RB Global, Inc. (a publicly traded provider of insights, services and transaction solutions for buyers and sellers of commercial assets and vehicles), a role he has held since January 2024. Previously, Mr. Guerin served as Senior Vice President and Chief Financial Officer of Veritiv Corporation (a formerly publicly traded provider of packaging and hygiene products), from March 2023 to December 2023 and as its Senior Vice President-Finance from January 2023 to March 2023. Prior to that, he served as Executive Vice President and Chief Financial Officer of CDK Global Inc. (a formerly publicly traded provider of integrated technology solutions to the automotive industry) from 2021 to 2022. From 2016 to 2021, he served as Division Vice President and sector Chief Financial Officer at Corning Glass Technologies, a division of Corning Inc. (a publicly traded innovator in materials science). Previously, he served in financial leadership roles at Flowserve Corporation, Novartis Corporation, Johnson & Johnson Services Inc., and AstraZeneca PLC, each a publicly traded company or subsidiary thereof.",2025-05-16 16:29:12.236921,male
39,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Suzanne E. McBride,56,Independent Director,320042,"Ms. McBride serves as Chief Operations Officer for Iridium Communications, Inc. (a publicly traded operator of a satellite-based global communications network). Prior to rejoining Iridium in February 2019, where she had previously served from 2007 to 2016 in various leadership roles, Ms. McBride served from June 2016 to January 2019 as Senior Vice President and Chief Operations Officer for OneWeb (a privately held company building a space-based global communications network that filed a voluntary petition for Chapter 11 bankruptcy protection on March 27, 2020). Earlier in her career, she held a series of increasingly senior positions in technology and operations with Motorola Solutions, Inc. (a publicly traded telecommunications company), and General Dynamics Corporation (a publicly traded aerospace and defense company).",2025-05-16 16:29:12.236921,female
40,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,David P. McGlade,64,Independent Director,350042,"Mr. McGlade served as Chairman of the Board of Intelsat S.A. (a formerly publicly traded worldwide provider of satellite communication services) from April 2013 to February 2022. He served as Executive Chairman of Intelsat from April 2015 to March 2018, prior to which he served as Chairman and Chief Executive Officer. Mr. McGlade joined Intelsat in April 2005 and was the Deputy Chairman from August 2008 until April 2013. Previously, Mr. McGlade served as an Executive Director of mmO2 PLC and as the Chief Executive Officer of O2 UK (a subsidiary of mmO2), a position he held from October 2000 until March 2005.",2025-05-16 16:29:12.236921,male
41,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Robert A. Schriesheim,64,Independent Director,337542,"Mr. Schriesheim has been Chairman of Truax Partners LLC (a consulting firm) since 2018 and has served as Adjunct Associate Professor of Finance at the University of Chicago Booth School of Business since September 2023. He served as Executive Vice President and Chief Financial Officer of Sears Holdings Corporation (a publicly traded nationwide retailer) from August 2011 to October 2016. From January 2010 to October 2010, Mr. Schriesheim was Chief Financial Officer of Hewitt Associates, Inc. (a global human resources consulting and outsourcing company that was acquired by Aon Corporation). From October 2006 until December 2009, he was the Executive Vice President and Chief Financial Officer of Lawson Software, Inc. (a publicly traded ERP software provider).",2025-05-16 16:29:12.236921,male
42,https://www.sec.gov/Archives/edgar/data/4127/000110465925029381/tm252990-4_def14a.htm,Maryann Turcke,59,Independent Director,320042,"Ms. Turcke most recently served as a senior advisor at Brookfield Asset Management from September 2020 to September 2022. Previously, Ms. Turcke served as Chief Operating Officer of the National Football League (NFL) from January 2018 to September 2020 and as a Senior Advisor for the NFL from September 2020 to May 2021. She joined the league as President of NFL Network, Digital Media, NFL Films and IT in April 2017. Prior to the NFL, Ms. Turcke served for more than a decade in various leadership roles within BCE Inc. (a publicly traded communications company formerly known as Bell Canada Enterprises), including serving from April 2015 to February 2017 as president of Bell Media, a division of BCE.",2025-05-16 16:29:12.236921,female
43,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,James F. Albaugh,71,Independent Lead Director,301078,"James F. Albaugh
Independent Lead Director since: 2020
Age: 71
Director since: 2017
Committees:
•
Audit Committee;

•
Governance and Nominating Committee

2021 Director Compensation
James F. Albaugh
Fees Earned or Paid in Cash($): $150,000
Stock Awards($): $150,009
All Other Compensation($): $1,069
Total($): $301,078",2025-05-16 16:29:13.098761,male
44,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Amy E. Alving,59,Independent Director,286659,"Amy E. Alving
Age: 59
Director Since: 2018
Committees:
•
Cybersecurity Advisory Subcommittee (Chair);

•
Governance and Nominating Committee (Chair)

2021 Director Compensation
Amy E. Alving
Fees Earned or Paid in Cash($): $135,000
Stock Awards($): $150,009
All Other Compensation($): $1,650
Total($): $286,659",2025-05-16 16:29:13.098761,female
45,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Sharon R. Barner,64,Independent Director,272042,"Sharon R. Barner
Age: 64
Director since: 2021
Committee:
•
Governance and Nominating Committee

2021 Director Compensation
Sharon R. Barner
Fees Earned or Paid in Cash($): $90,000
Stock Awards($): $181,247
All Other Compensation($): $795
Total($): $272,042",2025-05-16 16:29:13.098761,female
46,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Joseph S. Cantie,58,Independent Director,270804,"Joseph S. Cantie
Age: 58
Director since: 2020
Committees:
•
Audit Committee;

•
Compensation and Benefits Committee;

•
Finance Committee

2021 Director Compensation
Joseph S. Cantie
Fees Earned or Paid in Cash($): $120,000
Stock Awards($): $150,009
All Other Compensation($): $795
Total($): $270,804",2025-05-16 16:29:13.098761,male
47,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Robert F. Leduc,66,Independent Director,285009,"Robert F. Leduc
Age: 66
Director since: 2020
Committee:
•
Compensation and Benefits Committee (Chair)

2021 Director Compensation
Robert F. Leduc
Fees Earned or Paid in Cash($): $135,000
Stock Awards($): $150,009
All Other Compensation($): —
Total($): $285,009",2025-05-16 16:29:13.098761,male
48,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,David J. Miller,43,Independent Director,270009,"David J. Miller
Age: 43
Director since: 2017
Committee:
•
Finance Committee

2021 Director Compensation
David J. Miller
Fees Earned or Paid in Cash($): $120,000
Stock Awards($): $150,009
All Other Compensation($): —
Total($): $270,009",2025-05-16 16:29:13.098761,male
2770,https://www.sec.gov/Archives/edgar/data/72741/000110465922038092/tm223436-1_def14a.htm,John Y. Kim,61,Trustee,275577,John Y. Kim Age: 61 Trustee since 2018 Committees: Audit and Compensation,2025-05-16 16:33:01.709461,male
49,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Jody G. Miller,64,Independent Director,270009,"Jody G. Miller
Age: 64
Director since: 2020
Committees:
•
Cybersecurity Advisory Subcommittee;

•
Governance and Nominating Committee

2021 Director Compensation
Jody G. Miller
Fees Earned or Paid in Cash($): $120,000
Stock Awards($): $150,009
All Other Compensation($): —
Total($): $270,009",2025-05-16 16:29:13.098761,female
50,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Nicole W. Piasecki,60,Independent Director,270009,"Nicole W. Piasecki
Age: 60
Director since: 2020
Committees:
•
Compensation and Benefits Committee;

•
Cybersecurity Advisory Subcommittee

2021 Director Compensation
Nicole W. Piasecki
Fees Earned or Paid in Cash($): $120,000
Stock Awards($): $150,009
All Other Compensation($): —
Total($): $270,009",2025-05-16 16:29:13.098761,female
51,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,John C. Plant,68,Executive Chairman and Chief Executive Officer,0,"Mr. Plant, our sole employee director, does not receive additional compensation for his Board service. His compensation is reflected in the “2021 Summary Compensation Table.”",2025-05-16 16:29:13.098761,male
52,https://www.sec.gov/Archives/edgar/data/4281/000110465922043774/tm225175-1_def14a.htm,Ulrich R. Schmidt,72,Independent Director,290009,"Ulrich R. Schmidt
Age: 72
Director since: 2016
Committees:
•
Audit Committee (Chair);

•
Finance Committee (Chair)

2021 Director Compensation
Ulrich R. Schmidt
Fees Earned or Paid in Cash($): $140,000
Stock Awards($): $150,009
All Other Compensation($): —
Total($): $290,009",2025-05-16 16:29:13.098761,male
53,https://www.sec.gov/Archives/edgar/data/4447/000119312525073397/d763357ddef14a.htm,Terrence J. Checki,79,"Independent Director, Audit Committee Chair",377414,"Terrence J. Checki, Independent Director, Age: 79, Director Since: 2014, Committees Served: Audit (Chair), Compensation, Governance, Principal Occupation: Former Executive Vice President and Head, Emerging Markets and International Affairs, Federal Reserve Bank of New York.",2025-05-16 16:29:13.79925,male
