company_name,cikcode,director_name,software_background,start_date,end_date
ABEONA THERAPEUTICS INC.,318306,"HERBERT H. MCDADE, JR.",f,2005-04-18,2007-04-13
ABEONA THERAPEUTICS INC.,318306,JEFFREY B. DAVIS,t,2006-04-25,2017-04-11
ABEONA THERAPEUTICS INC.,318306,J. MICHAEL FLINN,f,2005-04-18,2007-04-13
ABEONA THERAPEUTICS INC.,318306,"JOÃO SIFFERT, M.D.",t,2019-04-11,2020-04-10
ABEONA THERAPEUTICS INC.,318306,"JOHN J. MEAKEM, JR.",f,2005-04-18,2008-04-22
ABEONA THERAPEUTICS INC.,318306,JOSEPH VAZZANO,f,2022-05-12,2022-07-11
ABEONA THERAPEUTICS INC.,318306,KERRY P. GRAY,f,2005-04-18,2005-04-18
ABEONA THERAPEUTICS INC.,318306,"LEILA ALLAND, M.D.",f,2022-05-12,2024-11-12
ABEONA THERAPEUTICS INC.,318306,"MARK J. AHN, PH.D.",t,2007-04-13,2016-04-06
ABEONA THERAPEUTICS INC.,318306,MARK J. ALVINO,f,2007-04-13,2024-11-12
ABEONA THERAPEUTICS INC.,318306,MARK V. ALVINO,f,2006-04-25,2006-04-25
ABEONA THERAPEUTICS INC.,318306,"MAX LINK, PH.D.",f,2005-04-18,2006-04-25
ABEONA THERAPEUTICS INC.,318306,MICHAEL AMOROSO,f,2021-04-09,2024-11-12
ABEONA THERAPEUTICS INC.,318306,PAUL MANN,f,2021-04-09,2024-11-12
ABEONA THERAPEUTICS INC.,318306,RICHARD VAN DUYNE,f,2019-04-11,2020-04-10
ABEONA THERAPEUTICS INC.,318306,"ROSEMARY MAZANET, M.D., PH.D.",f,2007-04-13,2007-04-13
ABEONA THERAPEUTICS INC.,318306,STEFANO BUONO,f,2019-04-11,2020-04-10
ABEONA THERAPEUTICS INC.,318306,"STEPHEN B. HOWELL, M.D.",f,2005-04-18,2020-04-10
ABEONA THERAPEUTICS INC.,318306,STEPHEN B. THOMPSON,f,2017-04-11,2017-04-11
ABEONA THERAPEUTICS INC.,318306,STEPHEN R. SEILER,f,2007-04-13,2007-04-13
ABEONA THERAPEUTICS INC.,318306,STEVEN H. ROUHANDEH,f,2009-04-22,2021-04-09
ABEONA THERAPEUTICS INC.,318306,STUART M. DUTY,f,2005-04-18,2006-04-25
ABEONA THERAPEUTICS INC.,318306,"TIMOTHY J. MILLER, PH.D.",t,2016-04-06,2019-04-11
ABEONA THERAPEUTICS INC.,318306,"TODD WIDER, M.D.",f,2016-04-06,2024-11-12
ABEONA THERAPEUTICS INC.,318306,VISHWAS SESHADRI,t,2022-05-12,2022-07-11
ABEONA THERAPEUTICS INC.,318306,"VISHWAS SESHADRI, PH.D.",t,2023-04-13,2024-03-19
"Accelerate Diagnostics, Inc",727207,A. ALEXANDER ARNOLD III,f,2005-11-17,2008-11-14
"Accelerate Diagnostics, Inc",727207,CHARLES E. GERRETSON,f,2005-11-17,2012-05-17
"Accelerate Diagnostics, Inc",727207,"CHARLES WATTS, M.D.",f,2018-04-12,2022-04-07
"Accelerate Diagnostics, Inc",727207,DAVID C. HOWSON,f,2012-05-17,2012-05-17
"Accelerate Diagnostics, Inc",727207,FRANK J.M. TEN BRINK,f,2013-11-05,2022-04-07
"Accelerate Diagnostics, Inc",727207,HANY MASSARANY,f,2022-04-07,2024-04-11
"Accelerate Diagnostics, Inc",727207,JACK PHILLIPS,f,2020-04-01,2024-04-11
"Accelerate Diagnostics, Inc",727207,JACK SCHULER,f,2012-05-17,2023-05-01
"Accelerate Diagnostics, Inc",727207,JACK W. SCHULER,f,2024-04-11,2024-04-11
"Accelerate Diagnostics, Inc",727207,JENNIFER REGAN,t,2024-04-11,2024-04-11
"Accelerate Diagnostics, Inc",727207,JENNY REGAN,t,2023-05-01,2023-05-01
"Accelerate Diagnostics, Inc",727207,JOHN D. KUCERA,f,2009-11-18,2012-05-17
"Accelerate Diagnostics, Inc",727207,JOHN PATIENCE,f,2012-05-17,2024-04-11
"Accelerate Diagnostics, Inc",727207,LAWRENCE MEHREN,f,2012-05-17,2019-04-05
"Accelerate Diagnostics, Inc",727207,LOUISE L. FRANCESCONI,f,2020-04-01,2024-04-11
"Accelerate Diagnostics, Inc",727207,MARK BLACK,f,2024-04-11,2024-04-11
"Accelerate Diagnostics, Inc",727207,MARK C. MILLER,t,2013-11-05,2022-04-07
"Accelerate Diagnostics, Inc",727207,MARRAN H. OGILVIE,f,2023-05-01,2024-04-11
"Accelerate Diagnostics, Inc",727207,"MATTHEW W. STROBECK, PH.D.",t,2012-11-13,2023-05-01
"Accelerate Diagnostics, Inc",727207,ROLAND DIGGELMANN,f,2020-04-01,2020-04-01
"Accelerate Diagnostics, Inc",727207,THOMAS D. BROWN,f,2018-04-12,2023-05-01
"Accelerate Diagnostics, Inc",727207,THOMAS V. GEIMER,f,2005-11-17,2012-05-17
"Accelerate Diagnostics, Inc",727207,TOM BROWN,f,2017-04-10,2017-04-10
"Accelerate Diagnostics, Inc",727207,WAYNE C. BURRIS,f,2022-04-07,2024-04-11
ACCO BRANDS Corp,712034,BORIS ELISMAN,f,2019-04-04,2023-03-28
ACCO BRANDS Corp,712034,ELIZABETH A. SIMERMEYER,f,2024-04-02,2025-03-28
ACCO BRANDS Corp,712034,E. MARK RAJKOWSKI,f,2019-04-04,2025-03-28
ACCO BRANDS Corp,712034,GINA R. BOSWELL,f,2022-04-01,2022-04-01
ACCO BRANDS Corp,712034,GRACIELA I. MONTEAGUDO,f,2020-04-03,2025-03-28
ACCO BRANDS Corp,712034,GRACIELA MONTEAGUDO,f,2019-04-04,2019-04-04
ACCO BRANDS Corp,712034,HANS MICHAEL NORKUS,f,2019-04-04,2020-04-03
ACCO BRANDS Corp,712034,JAMES A. BUZZARD,f,2019-04-04,2021-04-01
ACCO BRANDS Corp,712034,JOSEPH B. BURTON,t,2023-03-28,2025-03-28
ACCO BRANDS Corp,712034,KATHLEEN S. DVORAK,t,2019-04-04,2025-03-28
ACCO BRANDS Corp,712034,PRADEEP JOTWANI,t,2019-04-04,2025-03-28
ACCO BRANDS Corp,712034,ROBERT J. KELLER,f,2019-04-04,2025-03-28
ACCO BRANDS Corp,712034,RON LOMBARDI,f,2019-04-04,2025-03-28
ACCO BRANDS Corp,712034,THOMAS KROEGER,f,2019-04-04,2023-03-28
ACCO BRANDS Corp,712034,THOMAS W. TEDFORD,f,2024-04-02,2025-03-28
ACME UNITED CORP,2098,BRIAN K. BARKER,t,2019-03-20,2025-03-24
ACME UNITED CORP,2098,BRIAN S. OLSCHAN,f,2001-03-29,2025-03-24
ACME UNITED CORP,2098,GARY D. PENISTEN,f,2001-03-29,2007-03-16
ACME UNITED CORP,2098,GEORGE R. DUNBAR,f,2001-03-29,2006-03-28
ACME UNITED CORP,2098,PAUL J. CONWAY,t,2024-03-25,2025-03-24
ACME UNITED CORP,2098,REX L. DAVIDSON,t,2006-03-28,2025-03-24
ACME UNITED CORP,2098,"RICHMOND Y. HOLDEN, JR.",t,2001-03-29,2025-03-24
ACME UNITED CORP,2098,"STEPHEN SPINELLI, JR.",t,2006-03-28,2008-03-12
ACME UNITED CORP,2098,STEVENSON E. WARD III,f,2001-03-29,2024-03-25
ACME UNITED CORP,2098,SUSAN H. MURPHY,f,2003-03-19,2025-03-24
ACME UNITED CORP,2098,WALTER C. JOHNSEN,f,2001-03-29,2025-03-24
ACME UNITED CORP,2098,WAYNE R. MOORE,f,2001-03-29,2005-03-29
ACNB CORP,715579,ALAN J. STOCK,f,2017-03-28,2025-03-31
ACNB CORP,715579,ALEXANDRA C. CHIARUTTINI,f,2025-03-31,2025-03-31
ACNB CORP,715579,ALEXANDRA CHIARUTTINI,f,2024-04-02,2024-04-02
ACNB CORP,715579,DANIEL W. POTTS,t,2017-03-28,2025-03-31
ACNB CORP,715579,"D. ARTHUR SEIBEL, JR.",f,2019-04-02,2025-03-31
ACNB CORP,715579,DAVID L. SITES,f,2017-03-28,2022-03-29
ACNB CORP,715579,DONNA M. NEWELL,t,2017-03-28,2025-03-31
ACNB CORP,715579,ELIZABETH F. CARSON,f,2025-03-31,2025-03-31
ACNB CORP,715579,EUGENE J. DRAGANOSKY,f,2025-03-31,2025-03-31
ACNB CORP,715579,"FRANK ELSNER, III",f,2017-03-28,2025-03-31
ACNB CORP,715579,JAMES E. WILLIAMS,f,2017-03-28,2022-03-29
ACNB CORP,715579,JAMES J. LOTT,f,2017-03-28,2025-03-31
ACNB CORP,715579,JAMES P. HELT,f,2017-03-28,2025-03-31
ACNB CORP,715579,J. EMMETT PATTERSON,f,2017-03-28,2020-03-31
ACNB CORP,715579,JOHN M. POLLI,f,2025-03-31,2025-03-31
ACNB CORP,715579,KIMBERLY S. CHANEY,f,2020-03-31,2025-03-31
ACNB CORP,715579,MARIAN B. SCHULTZ,f,2017-03-28,2022-03-29
ACNB CORP,715579,RICHARD L. ALLOWAY II,f,2017-03-28,2020-03-31
ACNB CORP,715579,ROBERT W. MILLER,f,2017-03-28,2017-03-28
ACNB CORP,715579,SCOTT L. KELLEY,f,2017-03-28,2025-03-31
ACNB CORP,715579,THOMAS A. RITTER,f,2017-03-28,2021-03-30
ACNB CORP,715579,TODD L. HERRING,f,2018-03-27,2025-03-31
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,CRAIG R. SMITH,f,2006-02-17,2006-10-04
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,"CRAIG R. SMITH, M.D.",f,2007-02-16,2020-02-24
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,DANIEL E. EMERSON,f,2004-02-23,2012-02-21
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,DOUGLAS G. OBER,f,2004-02-23,2012-02-21
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,"EDWARD J. KELLY, III",f,2004-02-23,2004-02-23
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,ENRIQUE R. ARZAC,f,2004-02-23,2006-10-04
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,"ENRIQUE R. ARZAC, PH.D.",f,2007-02-16,2021-02-23
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,FREDERIC A. ESCHERICH,f,2006-02-17,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,JAMES P. HAYNIE,f,2023-02-24,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,JANE MUSSER NELSON,f,2022-02-16,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,JOHN J. ROBERTS,f,2004-02-23,2006-10-04
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,KATHLEEN T. MCGAHRAN,f,2004-02-23,2022-02-16
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,"KATHLEEN T. MCGAHRAN, PH.D., J.D., C.P.A.",f,2007-02-16,2013-02-26
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,"KATHLEEN T. MCGAHRAN, PH.D., J.D., CPA",f,2014-02-21,2021-02-23
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,KENNETH J. DALE,t,2008-02-19,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,LANDON PETERS,f,2004-02-23,2005-03-17
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,LAURIANN C. KLOPPENBURG,f,2018-02-26,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,MARK E. STOECKLE,f,2013-02-26,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,MARY CHRIS JAMMET,t,2021-02-23,2025-02-19
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,PHYLLIS O. BONANNO,t,2004-02-23,2017-02-24
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,ROBERT J. M. WILSON,f,2004-02-23,2005-03-17
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,ROGER W. GALE,f,2006-02-17,2006-10-04
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,"ROGER W. GALE, PH.D.",f,2007-02-16,2021-02-23
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,SUSAN C. SCHWAB,t,2004-02-23,2005-03-17
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,THOMAS H. LENAGH,f,2004-02-23,2011-02-18
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,W. D. MACCALLAN,f,2004-02-23,2005-03-17
"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230,W. PERRY NEFF,f,2004-02-23,2004-02-23
"ADAMS NATURAL RESOURCES FUND, INC.",216851,CRAIG R. SMITH,f,2006-02-17,2006-10-04
"ADAMS NATURAL RESOURCES FUND, INC.",216851,"CRAIG R. SMITH, M.D.",f,2007-02-16,2020-02-24
"ADAMS NATURAL RESOURCES FUND, INC.",216851,DANIEL E. EMERSON,f,2005-03-17,2012-02-21
"ADAMS NATURAL RESOURCES FUND, INC.",216851,DOUGLAS G. OBER,f,2005-03-17,2012-02-21
"ADAMS NATURAL RESOURCES FUND, INC.",216851,ENRIQUE R. ARZAC,f,2005-03-17,2006-10-04
"ADAMS NATURAL RESOURCES FUND, INC.",216851,"ENRIQUE R. ARZAC, PH.D.",f,2007-02-16,2021-02-23
"ADAMS NATURAL RESOURCES FUND, INC.",216851,FREDERIC A. ESCHERICH,f,2006-02-17,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,JAMES P. HAYNIE,f,2023-02-24,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,JANE MUSSER NELSON,f,2022-02-16,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,JOHN J. ROBERTS,f,2005-03-17,2006-10-04
"ADAMS NATURAL RESOURCES FUND, INC.",216851,KATHLEEN T. MCGAHRAN,f,2005-03-17,2022-02-16
"ADAMS NATURAL RESOURCES FUND, INC.",216851,"KATHLEEN T. MCGAHRAN, PH.D., J.D., C.P.A.",f,2007-02-16,2013-02-26
"ADAMS NATURAL RESOURCES FUND, INC.",216851,"KATHLEEN T. MCGAHRAN, PH.D., J.D., CPA",f,2014-02-21,2021-02-23
"ADAMS NATURAL RESOURCES FUND, INC.",216851,KENNETH J. DALE,t,2008-02-19,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,LANDON PETERS,f,2005-03-17,2005-03-17
"ADAMS NATURAL RESOURCES FUND, INC.",216851,LAURIANN C. KLOPPENBURG,f,2018-02-26,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,MARK E. STOECKLE,f,2013-02-26,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,MARY CHRIS JAMMET,t,2021-02-23,2025-02-19
"ADAMS NATURAL RESOURCES FUND, INC.",216851,PHYLLIS O. BONANNO,t,2005-03-17,2017-02-24
"ADAMS NATURAL RESOURCES FUND, INC.",216851,ROBERT J. M. WILSON,f,2005-03-17,2005-03-17
"ADAMS NATURAL RESOURCES FUND, INC.",216851,ROGER W. GALE,f,2006-02-17,2006-10-04
"ADAMS NATURAL RESOURCES FUND, INC.",216851,"ROGER W. GALE, PH.D.",f,2007-02-16,2021-02-23
"ADAMS NATURAL RESOURCES FUND, INC.",216851,SUSAN C. SCHWAB,f,2005-03-17,2005-03-17
"ADAMS NATURAL RESOURCES FUND, INC.",216851,THOMAS H. LENAGH,f,2005-03-17,2011-02-18
"ADAMS NATURAL RESOURCES FUND, INC.",216851,W. D. MACCALLAN,f,2005-03-17,2005-03-17
ADVANCED MICRO DEVICES INC,2488,ABHI Y. TALWALKAR,t,2018-03-19,2025-03-28
ADVANCED MICRO DEVICES INC,2488,AHMED YAHIA,f,2017-03-08,2019-03-21
ADVANCED MICRO DEVICES INC,2488,DR. LISA T. SU,t,2017-03-08,2022-03-31
ADVANCED MICRO DEVICES INC,2488,ELIZABETH W. VANDERSLICE,t,2022-03-31,2025-03-28
ADVANCED MICRO DEVICES INC,2488,JOHN E. CALDWELL,f,2017-03-08,2022-03-31
ADVANCED MICRO DEVICES INC,2488,JOHN W. MARREN,t,2017-03-08,2025-03-28
ADVANCED MICRO DEVICES INC,2488,JON A. OLSON,t,2022-03-31,2025-03-28
ADVANCED MICRO DEVICES INC,2488,JOSEPH A. HOUSEHOLDER,f,2017-03-08,2025-03-28
ADVANCED MICRO DEVICES INC,2488,LISA T. SU,t,2018-03-19,2025-03-28
ADVANCED MICRO DEVICES INC,2488,MARK DURCAN,t,2018-03-19,2024-03-25
ADVANCED MICRO DEVICES INC,2488,MICHAEL J. INGLIS,t,2017-03-08,2018-03-19
ADVANCED MICRO DEVICES INC,2488,MICHAEL P. GREGOIRE,t,2020-03-26,2025-03-28
ADVANCED MICRO DEVICES INC,2488,NICHOLAS M. DONOFRIO,t,2017-03-08,2017-03-08
ADVANCED MICRO DEVICES INC,2488,NORA M. DENZEL,t,2017-03-08,2025-03-28
AFLAC INC,4977,ARTHUR R. COLLINS,t,2022-03-17,2024-03-21
AFLAC INC,4977,"BARBARA K. RIMER, DRPH",f,2015-03-19,2023-03-16
AFLAC INC,4977,CHARLES B. KNAPP,f,2015-03-19,2017-03-16
AFLAC INC,4977,DANIEL P. AMOS,f,2015-03-19,2024-03-21
AFLAC INC,4977,DOUGLAS W. JOHNSON,f,2015-03-19,2018-03-23
AFLAC INC,4977,ELIZABETH J. HUDSON,f,2015-03-19,2017-03-16
AFLAC INC,4977,GEORGETTE D. KISER,t,2019-03-22,2024-03-21
AFLAC INC,4977,JOSEPH L. MOSKOWITZ,t,2015-03-19,2024-03-21
AFLAC INC,4977,KAROLE F. LLOYD,t,2017-03-16,2024-03-21
AFLAC INC,4977,KATHERINE T. ROHRER,f,2018-03-23,2024-03-21
AFLAC INC,4977,KRISS CLONINGER III,f,2015-03-19,2017-03-16
AFLAC INC,4977,MELVIN T. STITH,f,2015-03-19,2021-03-18
AFLAC INC,4977,MIWAKO HOSODA,t,2023-03-16,2024-03-21
AFLAC INC,4977,NOBUCHIKA MORI,f,2020-03-19,2024-03-21
AFLAC INC,4977,PAUL S. AMOS II,f,2015-03-19,2017-03-16
AFLAC INC,4977,ROBERT B. JOHNSON,f,2015-03-19,2019-03-22
AFLAC INC,4977,TAKURO YOSHIDA,f,2015-03-19,2015-03-19
AFLAC INC,4977,THOMAS J. KENNY,f,2015-03-19,2024-03-21
AFLAC INC,4977,TOSHIHIKO FUKUZAWA,t,2016-03-17,2022-03-17
AFLAC INC,4977,W. PAUL BOWERS,t,2015-03-19,2024-03-21
AgEagle Aerial Systems Inc.,8504,BARRETT MOONEY,t,2020-05-28,2023-10-10
AgEagle Aerial Systems Inc.,8504,BRANDON TORRES DECLET,t,2021-05-05,2021-05-05
AgEagle Aerial Systems Inc.,8504,BRET CHILCOTT,f,2018-11-29,2019-05-21
AgEagle Aerial Systems Inc.,8504,CORBETT KULL,t,2018-11-29,2018-11-29
AgEagle Aerial Systems Inc.,8504,C. STEPHEN COCHENNET,f,2008-09-19,2009-09-11
AgEagle Aerial Systems Inc.,8504,DARAN G. DAMMEYER,f,2007-08-20,2009-09-11
AgEagle Aerial Systems Inc.,8504,DARREL G. PALMER,f,2007-08-20,2009-09-11
AgEagle Aerial Systems Inc.,8504,DEDE P. JONES,f,2008-05-07,2008-05-07
AgEagle Aerial Systems Inc.,8504,DR. JAMES W. RECTOR,t,2008-05-07,2009-09-11
AgEagle Aerial Systems Inc.,8504,GRANT BEGLEY,t,2018-11-29,2024-11-19
AgEagle Aerial Systems Inc.,8504,JAMES G. MILLER,f,2013-05-22,2017-04-07
AgEagle Aerial Systems Inc.,8504,KELLY ANDERSON,t,2023-05-01,2024-04-26
